,Желаемая вакансия,Желаемая зарплата,Пол,Возраст,Местонахождения,Общий стаж,Работодатели,Ключевые навыки,Образование,Знание языков
0,Менеджер по продажам,80 000 руб.,Мужчина,35 лет,МОСКВА,Опыт работы 14 лет,"['СТИЛЬНЫЙ ПОЛ ООО', 'АЛИКС ГРУПП', 'ТОПВУД', 'ГК ""РОССТАЙЛ""', 'ЗАО НИКПА', 'СТАРИК ХОТТАБЫЧ']","['ВЕДЕНИЕ КЛИЕНТСКОЙ БАЗЫ', 'РОЗНИЧНАЯ ТОРГОВЛЯ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', 'ПОЛЬЗОВАТЕЛЬ ПК', 'КОНСУЛЬТАТИВНЫЕ ПРОДАЖИ', 'НАВЫКИ ПРОДАЖ', 'ГРАМОТНАЯ РЕЧЬ', 'ПЛАНИРОВАНИЕ ПРОДАЖ', 'КОНСУЛЬТИРОВАНИЕ', 'MS OUTLOOK', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'РАБОТА С ВОЗРАЖЕНИЯМИ', 'КОНСУЛЬТИРОВАНИЕ КЛИЕНТОВ', 'ДЕЛОВОЕ ОБЩЕНИЕ', 'УМЕНИЕ РАБОТАТЬ В КОМАНДЕ', 'РАБОТА С ОРГТЕХНИКОЙ', '1С: ТОРГОВЛЯ И СКЛАД', 'INTERNET', 'ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'РАБОТА С ТЕКУЩЕЙ БАЗОЙ КЛИЕНТОВ', 'ПРОДАЖИ ЧЕРЕЗ ДИСТРИБЬЮТОРОВ', 'СОПРОВОЖДЕНИЕ СДЕЛОК', 'ЗНАНИЕ ТЕХНИКИ ПРОДАЖ', 'КОНТРОЛЬ ОТГРУЗОК', 'РАБОТА НА ВЫСТАВКАХ', 'ДЕЛОВАЯ ПЕРЕПИСКА']","['МОСКОВСКИЙ ГОРОДСКОЙ ИНСТИТУТ МЕНЕДЖМЕНТА', 'МОСКОВСКИЙ ТЕХНОЛОГИЧЕСКИЙ КОЛЛЕДЖ', 'Я ЛУЧШИЙ ПРОДАВЕЦ', 'СТАНДАРТЫ РАБОТЫ С ПОКУПАТЕЛЯМИ И НАВЫКИ ЭФФЕКТИВНЫХ ПРОДАЖ.', 'СТАНДАРТЫ РАБОТЫ С ПОКУПАТЕЛЯМИ И НАВЫКИ ЭФФЕКТИВНЫХ ПРОДАЖ.']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
1,Менеджер по продажам,40 000 руб.,Женщина,20 лет,САНКТ-ПЕТЕРБУРГ,Опыт работы 10 месяцев,"['EXCEED TEAM', 'GO!ENGLISH ']","['ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'РЕГИОНАЛЬНЫЕ СЕТИ', 'АКТИВНЫЕ ПРОДАЖИ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'НАВЫКИ ПРОДАЖ', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'ПОЛЬЗОВАТЕЛЬ ПК', 'ДЕЛОВАЯ ПЕРЕПИСКА', 'АНГЛИЙСКИЙ ЯЗЫК']","['ДОНСКОЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ, РОСТОВ-НА-ДОНУ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
2,Менеджер по продажам,35 000 руб.,Женщина,22 года,РОСТОВ-НА-ДОНУ,Опыт работы 2 года 4 месяца,"['АО ""ПФ ""СКБ КОНТУР""', 'DVA.EXPERT', 'ИП МАКЕЕВА Е. Ю.']","['ОПЫТ ПРОДАЖ', 'ПРЯМЫЕ ПРОДАЖИ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'ХОЛОДНЫЕ ПРОДАЖИ', 'MS POWERPOINT', 'РАБОТА НА ВЫСТАВКАХ', 'РАЗВИТИЕ ПРОДАЖ', 'ADOBE PHOTOSHOP', 'ТЕПЛЫЕ ПРОДАЖИ', 'ПОДГОТОВКА КОММЕРЧЕСКИХ ПРЕДЛОЖЕНИЙ', 'СОПРОВОЖДЕНИЕ СДЕЛОК', 'ПОЛЬЗОВАТЕЛЬ ПК', 'ГРАМОТНАЯ РЕЧЬ', 'АКТИВНЫЕ ПРОДАЖИ', 'СОПРОВОЖДЕНИЕ КЛИЕНТОВ', 'ПОДГОТОВКА ПРЕЗЕНТАЦИЙ']","['ДОНСКОЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ, РОСТОВ-НА-ДОНУ']",['РУССКИЙ']
3,Менеджер по продажам ,90 000 руб.,Мужчина,22 года,ОДИНЦОВО,Опыт работы 1 год 5 месяцев,"['MAXIMUM EDUCATION ', 'MAJOR-AUTO']","['ОБУЧЕНИЕ ПЕРСОНАЛА', 'ПРЯМЫЕ ПРОДАЖИ', 'АНАЛИТИКА ПРОДАЖ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'АКТИВНЫЕ ПРОДАЖИ', 'ХОЛОДНЫЕ ПРОДАЖИ', 'ОРГАНИЗАТОРСКИЕ НАВЫКИ', 'ОБУЧЕНИЕ И РАЗВИТИЕ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'ПРОВЕДЕНИЕ ПРЕЗЕНТАЦИЙ', 'ДЕЛОВАЯ ПЕРЕПИСКА', 'ЗАКЛЮЧЕНИЕ ДОГОВОРОВ', 'ПОЛЬЗОВАТЕЛЬ ПК', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', 'РАБОТА В КОМАНДЕ', 'НАВЫКИ ПРОДАЖ', 'MS OUTLOOK', 'MS POWERPOINT', 'ДЕЛОВОЕ ОБЩЕНИЕ', 'ГРАМОТНАЯ РЕЧЬ', 'НАВЫКИ ПРЕЗЕНТАЦИИ', 'АНГЛИЙСКИЙ ЯЗЫК', 'ДЕЛОВАЯ КОММУНИКАЦИЯ', 'ОРГАНИЗАЦИЯ МЕРОПРИЯТИЙ', 'ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'INTERNET', 'ПОДГОТОВКА ПРЕЗЕНТАЦИЙ', 'КОНСУЛЬТИРОВАНИЕ']","['МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ МЕЖДУНАРОДНЫХ ОТНОШЕНИЙ МИНИСТЕРСТВА ИНОСТРАННЫХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ, МОСКВА']","['РУССКИЙ', 'АНГЛИЙСКИЙ', 'АРМЯНСКИЙ']"
4,Менеджер по продажам ,70 000 руб.,Мужчина,30 лет,РАМЕНСКОЕ,Опыт работы 4 года 8 месяцев,"['ООО ЭВЭН ', 'ООО ТАХОГРАФ ']",['ОПЫТ РАБОТЫ В 1С И CRM'],"['МОСКОВСКИЙ БУХГАЛТЕРСКИЙ ИНСТИТУТ МБИ', 'МБИ ']","['РУССКИЙ', 'АНГЛИЙСКИЙ']"
5,Менеджер по продажам,20 000 руб.,Женщина,24 года,ЧЕБОКСАРЫ,Опыт работы 1 год 11 месяцев,"['М-СТАЙЛ', 'КОРПОРАТИВНЫЕ РЕШЕНИЯ']",,"['ЧУВАШСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМ. И.Н. УЛЬЯНОВА, ЧЕБОКСАРЫ']",['РУССКИЙ']
6,Менеджер по продажам,35 000 руб.,Мужчина,22 года,РОСТОВ-НА-ДОНУ,Опыт работы 1 год 10 месяцев,"['МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ (МТС)', 'СВЯЗНОЙ', 'СБЕРБАНК']","['РАБОТА С БОЛЬШИМ ОБЪЕМОМ ИНФОРМАЦИИ', 'АКТИВНЫЕ ПРОДАЖИ', 'ПРЯМЫЕ ПРОДАЖИ', 'НАВЫКИ ПРОДАЖ', 'ГРАМОТНАЯ РЕЧЬ', 'РАБОТА С ВОЗРАЖЕНИЯМИ', 'ПОЛЬЗОВАТЕЛЬ ПК', 'РАБОТА В КОМАНДЕ', 'КОНСУЛЬТИРОВАНИЕ КЛИЕНТОВ', 'МЕРЧАНДАЙЗИНГ', 'РАБОТА С КАССОЙ', '1С', 'MS']","['ДОНСКОЙ БАНКОВСКИЙ КОЛЛЕДЖ', '1С:ПРЕДПРИЯТИЕ']",['РУССКИЙ']
7,Менеджер по продажам,50 000 руб.,Мужчина,34 года,НОВОСИБИРСК,Опыт работы 11 лет 8 месяцев,"['ФУД МАСТЕР ФАБРИКА', 'ООО «КВАДРОКОМ»', 'ООО «ФАБРИКА ФАВОРИТ»', 'ООО «ТАРИ-КОМ»', 'ООО «НИКОЛЬСКОЕ»', 'ООО «АНИСА-Н»', 'ООО «АНИСА-Н»']","['ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'РАБОТА С ТЕКУЩЕЙ БАЗОЙ КЛИЕНТОВ', 'КОНТРОЛЬ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ', 'ПОЛЬЗОВАТЕЛЬ ПК']",['НОВОСИБИРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ'],['РУССКИЙ']
8,Менеджер по продажам,40 000 руб.,Мужчина,39 лет,РОСТОВ-НА-ДОНУ,Опыт работы 15 лет 11 месяцев,"['ООО ""РОСТОВ-СИЛИКОН""', 'ООО ""СПЕЦАВТОМАТИКА""', 'ИП БОНДАРЕНКО Ю.В.', 'ИП БУЛАВИНЦЕВ А.А.', 'ООО ""ЮЖНЫЙ ДОМ""', 'ООО ""СТОИК""', 'ООО ""АРТ-ПЛАСТ""']","['УРЕГУЛИРОВАНИЕ КОНФЛИКТОВ', 'ПРОДАЖИ', 'РАБОТА С ЛЮДЬМИ', 'ПОЛЬЗОВАТЕЛЬ ПК', 'УПРАВЛЕНИЕ ПЕРСОНАЛОМ', 'ВЕДЕНИЕ ПЕРЕГОВОРОВ', 'ОРГАНИЗАТОРСКИЕ НАВЫКИ', 'АКТИВНЫЕ ПРОДАЖИ', 'РАБОТА В КОМАНДЕ', 'РУКОВОДСТВО КОЛЛЕКТИВОМ', 'ГРАМОТНАЯ РЕЧЬ', 'ВОДИТЕЛЬСКОЕ УДОСТОВЕРЕНИЕ КАТЕГОРИИ B', 'РАБОТА С ОРГТЕХНИКОЙ', 'ТЕЛЕФОННЫЕ ПЕРЕГОВОРЫ', 'ПОИСК И ПРИВЛЕЧЕНИЕ КЛИЕНТОВ', 'ПОДБОР ПЕРСОНАЛА', 'МОТИВАЦИЯ ПЕРСОНАЛА']","['ДОНСКОЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ, РОСТОВ-НА-ДОНУ']",['РУССКИЙ']
9,Менеджер по продажам,80 000 руб.,Женщина,47 лет,МОСКВА,Опыт работы 28 лет 5 месяцев,"['ООО "" ЭЛИТА""', 'FULL HOUSE', 'MILANO HOUM CONCEPT', 'ООО "" КИРГУ""', 'МЦ 5', 'ООО "" АВАНГАРД""', 'ООО ""ЦВЕТ ДИВАНОВ""', 'СШ 1 Г.ХАСАВЮРТ']","['УМЕНИЕ ОРГАНИЗОВЫВАТЬ РАБОТУ, ПЛАНИРОВАТЬ.', 'КОММУНИКАБЕЛЬНАЯ', 'ПУНКТУАЛЬНАЯ', 'ВНИМАТЕЛЬНАЯ']","['ДАГЕСТАНСКИЙ ГОСУДАРСТВЕННЫЙ ПЕДАГОГИЧЕСКИЙ УНИВЕРСИТЕТ, МАХАЧКАЛА']",['РУССКИЙ']
